Region,Codigo region,Poblacion,fecha,numero
Maule,07,1131939,2020-04-24,606
Nuble,16,511551,2020-04-24,0
Biobio,08,1663696,2020-04-24,340
Araucania,09,1014343,2020-04-24,306
Los Rios,14,405835,2020-04-24,87
Los Lagos,10,891440,2020-04-24,324
Aysen,11,107297,2020-04-24,48
Magallanes,12,178362,2020-04-24,93
Arica y Parinacota,15,252110,2020-04-25,90
Tarapaca,01,382773,2020-04-25,118
Antofagasta,02,691854,2020-04-25,217
Atacama,03,314709,2020-04-25,46
Coquimbo,04,836096,2020-04-25,42
Valparaiso,05,1960170,2020-04-25,262
Metropolitana,13,8125072,2020-04-25,4218
OHiggins,06,991063,2020-04-25,0
Maule,07,1131939,2020-04-25,254
Nuble,16,511551,2020-04-25,371
Biobio,08,1663696,2020-04-25,354
Araucania,09,1014343,2020-04-25,347
Los Rios,14,405835,2020-04-25,77
Los Lagos,10,891440,2020-04-25,406
Aysen,11,107297,2020-04-25,30
Magallanes,12,178362,2020-04-25,113
Arica y Parinacota,15,252110,2020-04-26,73
Tarapaca,01,382773,2020-04-26,58
Antofagasta,02,691854,2020-04-26,214
Atacama,03,314709,2020-04-26,54
Coquimbo,04,836096,2020-04-26,72
Valparaiso,05,1960170,2020-04-26,201
Metropolitana,13,8125072,2020-04-26,4313
OHiggins,06,991063,2020-04-26,195
Maule,07,1131939,2020-04-26,349
Nuble,16,511551,2020-04-26,91
Biobio,08,1663696,2020-04-26,404
Araucania,09,1014343,2020-04-26,273
Los Rios,14,405835,2020-04-26,99
Los Lagos,10,891440,2020-04-26,302
Aysen,11,107297,2020-04-26,13
Magallanes,12,178362,2020-04-26,52
Arica y Parinacota,15,252110,2020-04-27,146
Tarapaca,01,382773,2020-04-27,58
Antofagasta,02,691854,2020-04-27,180
Atacama,03,314709,2020-04-27,56
Coquimbo,04,836096,2020-04-27,0
Valparaiso,05,1960170,2020-04-27,167
Metropolitana,13,8125072,2020-04-27,3289
OHiggins,06,991063,2020-04-27,30
Maule,07,1131939,2020-04-27,535
Nuble,16,511551,2020-04-27,90
Biobio,08,1663696,2020-04-27,174
Araucania,09,1014343,2020-04-27,246
Los Rios,14,405835,2020-04-27,56
Los Lagos,10,891440,2020-04-27,207
Aysen,11,107297,2020-04-27,0
Magallanes,12,178362,2020-04-27,26
Arica y Parinacota,15,252110,2020-04-28,80
Tarapaca,01,382773,2020-04-28,57
Antofagasta,02,691854,2020-04-28,181
Atacama,03,314709,2020-04-28,73
Coquimbo,04,836096,2020-04-28,148
Valparaiso,05,1960170,2020-04-28,184
Metropolitana,13,8125072,2020-04-28,2975
OHiggins,06,991063,2020-04-28,95
Maule,07,1131939,2020-04-28,255
Nuble,16,511551,2020-04-28,59
Biobio,08,1663696,2020-04-28,234
Araucania,09,1014343,2020-04-28,218
Los Rios,14,405835,2020-04-28,54
Los Lagos,10,891440,2020-04-28,225
Aysen,11,107297,2020-04-28,29
Magallanes,12,178362,2020-04-28,63
Arica y Parinacota,15,252110,2020-04-29,61
Tarapaca,01,382773,2020-04-29,111
Antofagasta,02,691854,2020-04-29,198
Atacama,03,314709,2020-04-29,112
Coquimbo,04,836096,2020-04-29,74
Valparaiso,05,1960170,2020-04-29,169
Metropolitana,13,8125072,2020-04-29,4349
OHiggins,06,991063,2020-04-29,105
Maule,07,1131939,2020-04-29,58
Nuble,16,511551,2020-04-29,104
Biobio,08,1663696,2020-04-29,230
Araucania,09,1014343,2020-04-29,275
Los Rios,14,405835,2020-04-29,98
Los Lagos,10,891440,2020-04-29,390
Aysen,11,107297,2020-04-29,53
Magallanes,12,178362,2020-04-29,67
Arica y Parinacota,15,252110,2020-04-30,84
Tarapaca,01,382773,2020-04-30,124
Antofagasta,02,691854,2020-04-30,259
Atacama,03,314709,2020-04-30,107
Coquimbo,04,836096,2020-04-30,78
Valparaiso,05,1960170,2020-04-30,278
Metropolitana,13,8125072,2020-04-30,5282
OHiggins,06,991063,2020-04-30,111
Maule,07,1131939,2020-04-30,249
Nuble,16,511551,2020-04-30,120
Biobio,08,1663696,2020-04-30,534
Araucania,09,1014343,2020-04-30,201
Los Rios,14,405835,2020-04-30,93
Los Lagos,10,891440,2020-04-30,276
Aysen,11,107297,2020-04-30,22
Magallanes,12,178362,2020-04-30,80
Arica y Parinacota,15,252110,2020-05-01,124
Tarapaca,01,382773,2020-05-01,8
Antofagasta,02,691854,2020-05-01,164
Atacama,03,314709,2020-05-01,114
Coquimbo,04,836096,2020-05-01,166
Valparaiso,05,1960170,2020-05-01,450
Metropolitana,13,8125072,2020-05-01,6144
OHiggins,06,991063,2020-05-01,94
Maule,07,1131939,2020-05-01,187
Nuble,16,511551,2020-05-01,129
Biobio,08,1663696,2020-05-01,296
Araucania,09,1014343,2020-05-01,421
Los Rios,14,405835,2020-05-01,122
Los Lagos,10,891440,2020-05-01,371
Aysen,11,107297,2020-05-01,0
Magallanes,12,178362,2020-05-01,126
Arica y Parinacota,15,252110,2020-05-02,87
Tarapaca,01,382773,2020-05-02,102
Antofagasta,02,691854,2020-05-02,312
Atacama,03,314709,2020-05-02,105
Coquimbo,04,836096,2020-05-02,165
Valparaiso,05,1960170,2020-05-02,327
Metropolitana,13,8125072,2020-05-02,6922
OHiggins,06,991063,2020-05-02,181
Maule,07,1131939,2020-05-02,339
Nuble,16,511551,2020-05-02,101
Biobio,08,1663696,2020-05-02,483
Araucania,09,1014343,2020-05-02,194
Los Rios,14,405835,2020-05-02,133
Los Lagos,10,891440,2020-05-02,412
Aysen,11,107297,2020-05-02,46
Magallanes,12,178362,2020-05-02,58
Arica y Parinacota,15,252110,2020-05-03,41
Tarapaca,01,382773,2020-05-03,90
Antofagasta,02,691854,2020-05-03,271
Atacama,03,314709,2020-05-03,75
Coquimbo,04,836096,2020-05-03,102
Valparaiso,05,1960170,2020-05-03,251
Metropolitana,13,8125072,2020-05-03,4570
OHiggins,06,991063,2020-05-03,63
Maule,07,1131939,2020-05-03,302
Nuble,16,511551,2020-05-03,97
Biobio,08,1663696,2020-05-03,251
Araucania,09,1014343,2020-05-03,354
Los Rios,14,405835,2020-05-03,70
Los Lagos,10,891440,2020-05-03,220
Aysen,11,107297,2020-05-03,32
Magallanes,12,178362,2020-05-03,29
Arica y Parinacota,15,252110,2020-05-04,89
Tarapaca,01,382773,2020-05-04,90
Antofagasta,02,691854,2020-05-04,231
Atacama,03,314709,2020-05-04,70
Coquimbo,04,836096,2020-05-04,191
Valparaiso,05,1960170,2020-05-04,196
Metropolitana,13,8125072,2020-05-04,5631
OHiggins,06,991063,2020-05-04,72
Maule,07,1131939,2020-05-04,322
Nuble,16,511551,2020-05-04,69
Biobio,08,1663696,2020-05-04,355
Araucania,09,1014343,2020-05-04,204
Los Rios,14,405835,2020-05-04,70
Los Lagos,10,891440,2020-05-04,262
Aysen,11,107297,2020-05-04,0
Magallanes,12,178362,2020-05-04,61
Arica y Parinacota,15,252110,2020-05-05,86
Tarapaca,01,382773,2020-05-05,123
Antofagasta,02,691854,2020-05-05,182
Atacama,03,314709,2020-05-05,111
Coquimbo,04,836096,2020-05-05,0
Valparaiso,05,1960170,2020-05-05,233
Metropolitana,13,8125072,2020-05-05,5509
OHiggins,06,991063,2020-05-05,214
Maule,07,1131939,2020-05-05,267
Nuble,16,511551,2020-05-05,0
Biobio,08,1663696,2020-05-05,416
Araucania,09,1014343,2020-05-05,364
Los Rios,14,405835,2020-05-05,90
Los Lagos,10,891440,2020-05-05,243
Aysen,11,107297,2020-05-05,44
Magallanes,12,178362,2020-05-05,82
Arica y Parinacota,15,252110,2020-05-06,77
Tarapaca,01,382773,2020-05-06,53
Antofagasta,02,691854,2020-05-06,236
Atacama,03,314709,2020-05-06,107
Coquimbo,04,836096,2020-05-06,23
Valparaiso,05,1960170,2020-05-06,268
Metropolitana,13,8125072,2020-05-06,6920
OHiggins,06,991063,2020-05-06,174
Maule,07,1131939,2020-05-06,135
Nuble,16,511551,2020-05-06,213
Biobio,08,1663696,2020-05-06,473
Araucania,09,1014343,2020-05-06,436
Los Rios,14,405835,2020-05-06,95
Los Lagos,10,891440,2020-05-06,686
Aysen,11,107297,2020-05-06,38
Magallanes,12,178362,2020-05-06,79
Arica y Parinacota,15,252110,2020-05-07,123
Tarapaca,01,382773,2020-05-07,221
Antofagasta,02,691854,2020-05-07,247
Atacama,03,314709,2020-05-07,164
